account_id,checking_status,credit_history,employment,age,sex,credit_amount,housing,existing_credits,savings_status,credit_defaults
ACC000000002626,no checking,existing paid,unemployed,66,M,753,own,2,<100,0
ACC000000002627,0<=X<200,existing paid,unemployed,36,F,3066,own,2,100<=X<500,0
ACC000000002628,<0,critical/other existing credit,<1,32,M,1272,own,1,>=1000,1
ACC000000002629,no checking,existing paid,1<=X<4,65,F,2600,own,1,<100,0
ACC000000002630,0<=X<200,delayed previously,>=7,35,M,7176,own,1,<100,0
ACC000000002631,no checking,existing paid,>=7,39,F,9266,own,2,<100,0
ACC000000002632,0<=X<200,all paid,>=7,21,F,7241,own,1,<100,0
ACC000000002633,<0,no credits/all paid,<1,55,M,2568,rent,2,100<=X<500,0
ACC000000002634,0<=X<200,existing paid,<1,49,M,336,own,2,100<=X<500,0
ACC000000002635,0<=X<200,critical/other existing credit,1<=X<4,49,F,2934,free,1,<100,1
ACC000000002636,0<=X<200,existing paid,1<=X<4,35,M,2565,own,1,>=1000,0
ACC000000002637,<0,critical/other existing credit,4<=X<7,33,F,3327,own,3,>=1000,0
ACC000000002638,0<=X<200,existing paid,1<=X<4,22,M,1763,free,1,no known savings,0
ACC000000002639,<0,delayed previously,>=7,38,M,4972,own,1,>=1000,0
ACC000000002640,no checking,critical/other existing credit,>=7,43,F,2753,own,2,<100,0
ACC000000002642,0<=X<200,no credits/all paid,>=7,48,M,18500,free,1,<100,0
ACC000000002643,no checking,existing paid,1<=X<4,20,F,9081,own,2,<100,0
ACC000000002644,0<=X<200,critical/other existing credit,<1,39,M,1580,own,1,<100,1
ACC000000002645,<0,delayed previously,4<=X<7,35,M,301,own,2,<100,1
ACC000000002646,>=200,existing paid,4<=X<7,45,F,802,free,1,no known savings,0
ACC000000002647,0<=X<200,existing paid,<1,33,M,1884,own,2,<100,0
ACC000000002648,<0,existing paid,<1,34,M,6032,own,1,100<=X<500,0
ACC000000002649,no checking,delayed previously,>=7,50,M,840,rent,1,no known savings,0
ACC000000002650,0<=X<200,critical/other existing credit,unemployed,47,M,944,own,2,<100,0
ACC000000002652,0<=X<200,critical/other existing credit,<1,41,M,4548,own,1,<100,1
ACC000000002653,no checking,delayed previously,>=7,20,F,3669,free,1,<100,0
ACC000000002654,>=200,critical/other existing credit,4<=X<7,63,M,661,rent,1,no known savings,0
ACC000000002655,<0,existing paid,1<=X<4,36,M,2654,own,1,100<=X<500,0
ACC000000002657,no checking,delayed previously,1<=X<4,39,F,1353,free,1,<100,0
ACC000000002658,<0,existing paid,4<=X<7,42,M,1698,own,2,100<=X<500,0
ACC000000002659,<0,existing paid,1<=X<4,32,M,2458,rent,2,<100,0
ACC000000002660,>=200,delayed previously,>=7,19,M,954,own,1,<100,0
ACC000000002661,no checking,existing paid,>=7,30,M,2239,free,2,<100,0
ACC000000002662,no checking,delayed previously,unemployed,31,M,3083,free,1,<100,0
ACC000000002663,no checking,critical/other existing credit,1<=X<4,34,F,845,own,2,<100,0
ACC000000002664,no checking,delayed previously,1<=X<4,39,M,3167,free,2,<100,0
ACC000000002665,>=200,critical/other existing credit,1<=X<4,35,F,4191,own,1,100<=X<500,1
ACC000000002666,0<=X<200,delayed previously,unemployed,48,M,411,own,1,<100,1
ACC000000002667,>=200,existing paid,>=7,40,F,886,own,2,no known savings,0
ACC000000002669,no checking,existing paid,<1,49,M,6627,own,1,100<=X<500,0
ACC000000002670,0<=X<200,existing paid,4<=X<7,51,M,4246,free,1,>=1000,0
ACC000000002672,no checking,existing paid,>=7,38,F,1329,own,1,<100,0
ACC000000002673,no checking,existing paid,4<=X<7,47,M,5816,own,1,100<=X<500,1
ACC000000002674,no checking,all paid,<1,39,F,4116,own,1,<100,0
ACC000000002675,no checking,critical/other existing credit,4<=X<7,22,M,3433,own,2,<100,1
ACC000000002676,no checking,existing paid,1<=X<4,39,F,5441,own,1,no known savings,0
ACC000000002677,no checking,critical/other existing credit,4<=X<7,47,M,6552,own,1,no known savings,0
ACC000000002678,no checking,existing paid,1<=X<4,26,F,1025,free,1,<100,0
ACC000000002679,no checking,existing paid,>=7,27,F,4921,own,1,<100,0
ACC000000002680,>=200,critical/other existing credit,<1,32,M,4993,own,1,100<=X<500,0
ACC000000002682,no checking,existing paid,1<=X<4,21,F,2341,free,1,<100,0
ACC000000002683,<0,critical/other existing credit,>=7,37,M,2931,own,2,<100,1
ACC000000002684,0<=X<200,delayed previously,>=7,21,M,1625,own,1,<100,1
ACC000000002685,0<=X<200,delayed previously,>=7,37,M,1596,free,2,500<=X<1000,0
ACC000000002686,0<=X<200,all paid,>=7,39,F,9151,own,1,<100,1
ACC000000002687,>=200,all paid,>=7,48,M,1341,free,1,no known savings,0
ACC000000002688,<0,critical/other existing credit,1<=X<4,34,M,2749,own,2,<100,1
ACC000000002689,no checking,existing paid,unemployed,32,M,1756,free,1,<100,0
ACC000000002690,0<=X<200,delayed previously,4<=X<7,23,M,3327,own,2,<100,1
ACC000000002691,no checking,existing paid,<1,48,M,6360,rent,1,100<=X<500,0
ACC000000002693,0<=X<200,critical/other existing credit,>=7,45,F,1588,own,1,<100,0
ACC000000002694,no checking,no credits/all paid,>=7,19,M,1996,own,1,<100,0
ACC000000002695,<0,critical/other existing credit,>=7,27,M,555,own,2,<100,0
ACC000000002696,0<=X<200,critical/other existing credit,>=7,39,F,10209,rent,2,>=1000,1
ACC000000002697,<0,critical/other existing credit,4<=X<7,40,F,727,own,1,<100,1
ACC000000002698,no checking,critical/other existing credit,unemployed,26,M,4192,own,2,<100,0
ACC000000002699,>=200,existing paid,>=7,19,F,1728,own,1,100<=X<500,1
ACC000000002700,0<=X<200,critical/other existing credit,<1,29,F,1411,own,2,no known savings,0
ACC000000002701,<0,existing paid,1<=X<4,35,F,1200,own,2,500<=X<1000,0
ACC000000002702,0<=X<200,existing paid,1<=X<4,20,M,1710,own,1,<100,1
ACC000000002703,no checking,critical/other existing credit,4<=X<7,40,M,6820,rent,1,<100,0
ACC000000002704,0<=X<200,existing paid,1<=X<4,27,F,823,free,1,<100,1
ACC000000002705,0<=X<200,existing paid,<1,35,F,2311,own,2,no known savings,0
ACC000000002707,0<=X<200,existing paid,<1,21,M,1579,free,2,<100,1
ACC000000002708,no checking,critical/other existing credit,<1,39,M,15925,free,2,<100,0
ACC000000002709,>=200,critical/other existing credit,1<=X<4,44,M,472,own,1,100<=X<500,1
ACC000000002711,0<=X<200,existing paid,<1,36,M,3953,own,1,<100,1
ACC000000002712,no checking,critical/other existing credit,4<=X<7,31,F,2655,own,2,>=1000,0
ACC000000002714,<0,critical/other existing credit,1<=X<4,42,M,5802,free,1,<100,1
ACC000000002715,no checking,existing paid,>=7,44,M,2057,free,2,no known savings,0
ACC000000002716,no checking,critical/other existing credit,4<=X<7,29,M,1036,own,1,no known savings,0
ACC000000002717,no checking,existing paid,unemployed,19,F,1084,own,1,<100,0
ACC000000002718,<0,existing paid,>=7,35,M,7307,own,1,<100,0
ACC000000002719,<0,delayed previously,>=7,22,F,6455,own,1,500<=X<1000,0
ACC000000002721,no checking,existing paid,>=7,26,M,1335,free,1,<100,0
ACC000000002722,no checking,critical/other existing credit,>=7,30,M,1059,own,1,<100,1
ACC000000002723,<0,existing paid,1<=X<4,27,M,8271,own,2,<100,0
ACC000000002724,<0,critical/other existing credit,>=7,33,M,4937,own,1,<100,1
ACC000000002726,0<=X<200,critical/other existing credit,4<=X<7,49,M,1768,rent,1,500<=X<1000,0
ACC000000002727,<0,critical/other existing credit,>=7,19,M,2043,free,1,500<=X<1000,1
ACC000000002728,0<=X<200,critical/other existing credit,>=7,65,F,1196,rent,2,>=1000,0
ACC000000002729,<0,existing paid,1<=X<4,53,M,656,free,2,<100,1
ACC000000002731,<0,existing paid,>=7,19,M,2243,rent,1,100<=X<500,0
ACC000000002732,no checking,delayed previously,4<=X<7,47,M,682,free,2,>=1000,0
ACC000000002733,0<=X<200,existing paid,1<=X<4,19,M,6250,own,2,500<=X<1000,0
ACC000000002734,<0,existing paid,4<=X<7,27,M,909,own,1,no known savings,0
ACC000000002735,no checking,existing paid,unemployed,21,F,1829,rent,1,<100,1
ACC000000002736,no checking,existing paid,>=7,36,M,2115,own,1,100<=X<500,0
ACC000000002737,<0,critical/other existing credit,>=7,61,F,1891,own,1,>=1000,1
ACC000000002738,<0,critical/other existing credit,1<=X<4,45,F,4672,own,1,500<=X<1000,0
ACC000000002739,0<=X<200,critical/other existing credit,>=7,64,F,2933,free,1,<100,0
ACC000000002740,<0,existing paid,1<=X<4,26,M,261,rent,1,no known savings,0
ACC000000002741,no checking,existing paid,4<=X<7,43,F,808,own,1,<100,0
ACC000000002742,0<=X<200,critical/other existing credit,1<=X<4,25,F,2021,own,2,<100,0
ACC000000002743,0<=X<200,existing paid,>=7,34,M,904,own,1,<100,0
ACC000000002744,<0,existing paid,>=7,20,F,1775,own,2,100<=X<500,1
ACC000000002745,0<=X<200,critical/other existing credit,<1,36,M,1843,own,1,no known savings,0
ACC000000002746,<0,existing paid,1<=X<4,34,F,1492,rent,1,<100,0
ACC000000002747,0<=X<200,existing paid,4<=X<7,22,M,3674,own,1,<100,1
ACC000000002748,0<=X<200,existing paid,4<=X<7,19,F,1099,own,1,<100,0
ACC000000002749,no checking,existing paid,>=7,55,M,1739,own,1,no known savings,0
ACC000000002750,no checking,existing paid,4<=X<7,35,M,1126,own,1,<100,0
ACC000000002751,0<=X<200,existing paid,1<=X<4,30,F,379,own,1,<100,0
ACC000000002752,>=200,critical/other existing credit,>=7,19,M,4258,rent,1,<100,1
ACC000000002753,0<=X<200,critical/other existing credit,1<=X<4,39,M,1533,rent,1,500<=X<1000,0
ACC000000002754,no checking,critical/other existing credit,>=7,38,M,637,own,1,<100,1
ACC000000002755,no checking,existing paid,1<=X<4,35,M,3714,free,2,<100,0
ACC000000002757,no checking,existing paid,>=7,31,F,2121,own,1,500<=X<1000,0
ACC000000002758,<0,critical/other existing credit,>=7,30,M,2841,free,1,100<=X<500,0
ACC000000002759,no checking,delayed previously,4<=X<7,59,M,4575,own,1,<100,0
ACC000000002760,0<=X<200,existing paid,unemployed,53,F,9866,own,2,<100,1
ACC000000002761,<0,delayed previously,>=7,38,M,4217,own,2,no known savings,1
ACC000000002762,no checking,existing paid,<1,37,F,1536,own,2,<100,0
ACC000000002763,no checking,delayed previously,1<=X<4,19,F,756,own,1,500<=X<1000,0
ACC000000002764,0<=X<200,existing paid,4<=X<7,36,M,14436,own,2,<100,0
ACC000000002765,>=200,existing paid,<1,50,F,2732,own,2,100<=X<500,0
ACC000000002766,0<=X<200,critical/other existing credit,1<=X<4,54,M,6346,free,2,<100,1
ACC000000002767,0<=X<200,delayed previously,>=7,44,F,1822,rent,1,<100,0
ACC000000002768,<0,existing paid,1<=X<4,31,M,4656,free,1,100<=X<500,0
ACC000000002769,0<=X<200,existing paid,1<=X<4,50,M,767,own,1,<100,0
ACC000000002770,no checking,existing paid,<1,43,M,4345,own,1,100<=X<500,0
ACC000000002771,<0,existing paid,1<=X<4,26,F,8486,own,2,<100,0
ACC000000002772,no checking,critical/other existing credit,1<=X<4,31,F,3325,own,1,no known savings,0
ACC000000002773,>=200,existing paid,1<=X<4,31,F,5302,own,2,<100,0
ACC000000002774,no checking,critical/other existing credit,>=7,37,M,5018,own,2,<100,0
ACC000000002775,<0,existing paid,>=7,30,M,2271,own,1,<100,1
ACC000000002776,<0,all paid,<1,19,M,4357,rent,1,500<=X<1000,0
ACC000000002777,0<=X<200,critical/other existing credit,<1,43,M,1030,own,2,no known savings,1
ACC000000002778,0<=X<200,critical/other existing credit,>=7,29,F,1621,own,1,500<=X<1000,0
ACC000000002780,0<=X<200,existing paid,4<=X<7,21,M,5635,own,1,<100,1
ACC000000002781,no checking,critical/other existing credit,>=7,32,M,1904,own,1,<100,0
ACC000000002782,0<=X<200,existing paid,1<=X<4,29,M,1903,own,1,<100,1
ACC000000002783,<0,existing paid,>=7,32,M,933,own,1,no known savings,1
ACC000000002784,0<=X<200,existing paid,>=7,22,M,2049,own,2,100<=X<500,0
ACC000000002785,<0,critical/other existing credit,<1,32,F,624,own,2,no known savings,1
ACC000000002786,no checking,critical/other existing credit,<1,19,M,18500,own,1,>=1000,0
ACC000000002787,<0,existing paid,1<=X<4,53,M,424,free,1,<100,1
ACC000000002788,0<=X<200,existing paid,1<=X<4,46,F,1012,own,2,<100,1
ACC000000002789,<0,existing paid,<1,36,F,391,own,1,no known savings,1
ACC000000002790,no checking,no credits/all paid,1<=X<4,29,M,10814,own,1,<100,0
ACC000000002791,no checking,critical/other existing credit,unemployed,40,M,2150,own,1,<100,0
ACC000000002793,<0,critical/other existing credit,1<=X<4,28,M,2423,free,1,>=1000,1
ACC000000002794,<0,delayed previously,4<=X<7,46,F,4469,rent,2,<100,1
ACC000000002795,no checking,critical/other existing credit,4<=X<7,37,F,2063,rent,1,<100,0
ACC000000002796,0<=X<200,existing paid,1<=X<4,32,M,2398,own,1,<100,0
ACC000000002797,<0,existing paid,>=7,30,M,3288,own,1,>=1000,0
ACC000000002799,no checking,existing paid,1<=X<4,34,M,1183,own,1,no known savings,0
ACC000000002800,<0,critical/other existing credit,1<=X<4,21,F,2460,rent,1,<100,0
ACC000000002801,>=200,critical/other existing credit,>=7,42,M,881,own,1,<100,0
ACC000000002803,0<=X<200,critical/other existing credit,>=7,20,M,6651,own,1,<100,0
ACC000000002804,<0,critical/other existing credit,<1,42,M,5733,own,1,<100,1
ACC000000002805,no checking,existing paid,1<=X<4,44,M,548,own,1,<100,0
ACC000000002806,0<=X<200,existing paid,1<=X<4,43,F,2630,own,2,no known savings,0
ACC000000002807,<0,existing paid,4<=X<7,19,F,2100,free,1,<100,0
ACC000000002808,no checking,existing paid,4<=X<7,29,F,18500,own,1,<100,0
ACC000000002809,<0,existing paid,unemployed,50,F,1501,own,1,<100,1
ACC000000002810,no checking,existing paid,<1,20,M,5014,own,1,>=1000,1
ACC000000002811,no checking,existing paid,4<=X<7,32,M,2915,own,2,<100,0
ACC000000002812,<0,existing paid,1<=X<4,27,M,1147,own,1,500<=X<1000,0
ACC000000002813,0<=X<200,critical/other existing credit,4<=X<7,38,M,851,free,1,<100,0
ACC000000002814,<0,existing paid,4<=X<7,31,M,16547,own,2,<100,0
ACC000000002815,no checking,existing paid,>=7,35,M,2260,own,2,<100,0
ACC000000002816,<0,existing paid,4<=X<7,41,M,1221,own,2,<100,1
ACC000000002817,<0,all paid,1<=X<4,37,M,12250,free,2,100<=X<500,0
ACC000000002818,no checking,existing paid,1<=X<4,62,F,1991,own,2,<100,1
ACC000000002819,no checking,delayed previously,1<=X<4,26,F,2163,rent,2,<100,1
ACC000000002820,no checking,all paid,1<=X<4,46,M,3349,own,1,no known savings,0
ACC000000002821,<0,critical/other existing credit,1<=X<4,32,M,895,own,2,no known savings,0
ACC000000002822,<0,existing paid,1<=X<4,55,M,1650,own,2,<100,0
ACC000000002823,no checking,existing paid,4<=X<7,37,F,2759,own,1,<100,0
ACC000000002824,<0,existing paid,>=7,27,M,2222,own,2,<100,0
ACC000000002825,no checking,critical/other existing credit,1<=X<4,35,M,1399,rent,1,no known savings,0
ACC000000002826,0<=X<200,existing paid,1<=X<4,34,M,1795,own,2,100<=X<500,0
ACC000000002827,no checking,existing paid,unemployed,35,M,2830,free,1,>=1000,0
ACC000000002828,0<=X<200,critical/other existing credit,>=7,28,M,1244,own,1,no known savings,1
ACC000000002829,<0,existing paid,>=7,37,M,18500,own,1,no known savings,0
ACC000000002830,no checking,existing paid,1<=X<4,38,M,1349,free,2,<100,0
ACC000000002831,0<=X<200,critical/other existing credit,>=7,22,M,372,own,2,no known savings,1
ACC000000002832,<0,delayed previously,4<=X<7,33,M,941,own,1,no known savings,1
ACC000000002833,0<=X<200,existing paid,4<=X<7,38,M,1823,free,1,<100,0
ACC000000002834,0<=X<200,existing paid,4<=X<7,33,M,447,free,2,<100,0
ACC000000002835,0<=X<200,critical/other existing credit,1<=X<4,19,M,6282,own,2,<100,1
ACC000000002836,0<=X<200,existing paid,1<=X<4,34,M,784,own,1,<100,1
ACC000000002837,no checking,critical/other existing credit,4<=X<7,40,M,612,own,3,500<=X<1000,0
ACC000000002838,0<=X<200,existing paid,<1,25,F,5496,own,1,>=1000,0
ACC000000002839,no checking,existing paid,1<=X<4,64,M,3752,own,2,<100,0
ACC000000002840,<0,existing paid,1<=X<4,31,M,2766,own,1,no known savings,1
ACC000000002841,no checking,critical/other existing credit,unemployed,19,M,4588,own,2,<100,0
ACC000000002844,no checking,critical/other existing credit,4<=X<7,19,M,692,own,1,no known savings,1
ACC000000002846,>=200,existing paid,1<=X<4,36,F,3771,own,1,<100,0
ACC000000002847,0<=X<200,critical/other existing credit,1<=X<4,30,M,828,free,1,no known savings,1
ACC000000002848,no checking,existing paid,unemployed,23,M,4349,own,2,500<=X<1000,0
ACC000000002849,no checking,existing paid,4<=X<7,27,M,3150,own,2,no known savings,0
ACC000000002850,<0,critical/other existing credit,4<=X<7,51,M,1524,own,2,<100,0
ACC000000002851,<0,existing paid,>=7,44,M,1515,own,1,>=1000,0
ACC000000002852,0<=X<200,existing paid,1<=X<4,34,M,4978,free,2,<100,0
ACC000000002853,<0,critical/other existing credit,4<=X<7,41,M,7744,own,1,no known savings,1
ACC000000002854,no checking,critical/other existing credit,>=7,30,M,486,own,1,<100,0
ACC000000002855,no checking,critical/other existing credit,>=7,25,F,366,rent,1,<100,1
ACC000000002856,0<=X<200,existing paid,>=7,41,M,2322,own,1,<100,0
ACC000000002857,no checking,critical/other existing credit,1<=X<4,31,F,2420,free,2,no known savings,1
ACC000000002858,0<=X<200,existing paid,<1,31,M,1396,own,1,500<=X<1000,0
ACC000000002859,0<=X<200,critical/other existing credit,1<=X<4,19,M,4604,free,2,<100,0
ACC000000002860,0<=X<200,critical/other existing credit,>=7,32,M,8561,free,1,<100,1
ACC000000002861,no checking,existing paid,>=7,42,F,802,own,2,100<=X<500,0
ACC000000002862,0<=X<200,existing paid,1<=X<4,21,M,3556,own,1,<100,0
ACC000000002863,0<=X<200,existing paid,1<=X<4,50,M,790,rent,1,<100,1
ACC000000002864,no checking,critical/other existing credit,>=7,34,F,463,own,2,no known savings,0
ACC000000002865,no checking,existing paid,4<=X<7,33,M,345,free,1,<100,0
ACC000000002866,<0,existing paid,>=7,35,M,2092,own,1,500<=X<1000,0
ACC000000002868,<0,existing paid,1<=X<4,33,M,1799,own,2,<100,1
ACC000000002869,no checking,critical/other existing credit,>=7,27,M,835,free,2,<100,0
ACC000000002870,<0,critical/other existing credit,4<=X<7,43,M,3044,own,1,100<=X<500,1
ACC000000002871,no checking,no credits/all paid,<1,43,M,2564,own,1,<100,0
ACC000000002872,<0,existing paid,4<=X<7,34,M,2359,own,1,<100,1
ACC000000002873,0<=X<200,delayed previously,>=7,33,M,562,own,1,100<=X<500,0
ACC000000002874,no checking,existing paid,1<=X<4,31,F,1370,own,1,>=1000,0
ACC000000002875,no checking,existing paid,1<=X<4,34,M,1736,own,1,<100,0
ACC000000002876,<0,existing paid,unemployed,52,M,1112,rent,1,500<=X<1000,1
ACC000000002877,>=200,delayed previously,1<=X<4,37,M,2905,free,2,<100,0
ACC000000002878,>=200,existing paid,1<=X<4,43,F,9006,own,1,<100,0
ACC000000002879,no checking,all paid,1<=X<4,46,M,6254,own,1,100<=X<500,0
ACC000000002882,no checking,critical/other existing credit,1<=X<4,32,M,2305,own,1,100<=X<500,0
ACC000000002883,<0,critical/other existing credit,1<=X<4,28,M,1387,own,1,<100,1
ACC000000002884,0<=X<200,critical/other existing credit,>=7,36,F,11345,own,1,<100,1
ACC000000002885,no checking,existing paid,1<=X<4,41,M,750,own,1,<100,0
ACC000000002886,no checking,existing paid,>=7,40,M,6232,own,1,<100,1
ACC000000002887,no checking,delayed previously,4<=X<7,51,M,1365,rent,1,no known savings,0
ACC000000002889,0<=X<200,existing paid,>=7,54,M,2263,own,2,<100,0
ACC000000002890,no checking,existing paid,4<=X<7,41,F,2582,own,1,100<=X<500,0
ACC000000002891,0<=X<200,no credits/all paid,4<=X<7,27,M,5075,own,2,<100,1
ACC000000002892,<0,critical/other existing credit,>=7,31,M,3335,own,2,<100,0
ACC000000002893,<0,existing paid,>=7,35,M,832,own,1,no known savings,0
ACC000000002894,0<=X<200,delayed previously,1<=X<4,21,F,1701,free,2,<100,1
ACC000000002895,0<=X<200,existing paid,<1,42,M,3597,own,2,100<=X<500,0
ACC000000002896,<0,delayed previously,4<=X<7,26,M,2406,own,2,<100,1
ACC000000002897,no checking,existing paid,4<=X<7,31,M,857,own,2,<100,0
ACC000000002898,>=200,critical/other existing credit,4<=X<7,51,F,1394,own,1,<100,0
ACC000000002899,no checking,existing paid,1<=X<4,35,M,4393,free,2,500<=X<1000,0
ACC000000002900,0<=X<200,existing paid,1<=X<4,46,M,1035,own,1,<100,1
ACC000000002901,0<=X<200,delayed previously,<1,32,M,528,free,1,<100,0
ACC000000002902,<0,existing paid,1<=X<4,29,F,1719,own,2,>=1000,0
ACC000000002903,0<=X<200,existing paid,1<=X<4,47,M,4687,free,1,<100,1
ACC000000002904,0<=X<200,existing paid,4<=X<7,35,F,2367,rent,1,<100,1
ACC000000002905,>=200,existing paid,<1,29,F,2355,free,1,<100,0
ACC000000002906,no checking,no credits/all paid,<1,32,M,396,own,1,<100,0
ACC000000002907,<0,critical/other existing credit,>=7,39,M,744,own,1,no known savings,1
ACC000000002908,>=200,delayed previously,4<=X<7,22,M,8978,own,1,<100,0
ACC000000002909,>=200,critical/other existing credit,1<=X<4,21,M,1704,own,1,<100,0
ACC000000002910,<0,delayed previously,4<=X<7,47,M,1340,own,1,<100,1
ACC000000002911,<0,existing paid,<1,50,M,1506,own,2,<100,0
ACC000000002912,no checking,critical/other existing credit,4<=X<7,51,M,3436,own,1,<100,1
ACC000000002913,0<=X<200,critical/other existing credit,<1,28,M,719,own,1,100<=X<500,0
ACC000000002914,<0,existing paid,<1,31,M,5991,rent,2,<100,0
ACC000000002915,no checking,existing paid,1<=X<4,49,M,8675,free,2,100<=X<500,0
ACC000000002916,no checking,delayed previously,>=7,39,M,954,own,2,500<=X<1000,0
ACC000000002917,0<=X<200,existing paid,1<=X<4,20,F,546,own,1,<100,0
ACC000000002918,no checking,existing paid,<1,40,M,4122,free,2,<100,0
ACC000000002921,no checking,no credits/all paid,1<=X<4,23,M,2984,own,1,<100,0
ACC000000002922,no checking,critical/other existing credit,>=7,40,M,618,free,1,no known savings,1
ACC000000002923,0<=X<200,existing paid,unemployed,39,M,1793,free,2,<100,1
ACC000000002924,<0,existing paid,1<=X<4,30,M,1535,own,1,500<=X<1000,1
ACC000000002925,no checking,existing paid,unemployed,39,M,1037,own,2,<100,0
ACC000000002926,no checking,existing paid,unemployed,21,F,6329,free,1,<100,0
ACC000000002928,no checking,existing paid,4<=X<7,28,M,11178,own,1,no known savings,0
ACC000000002929,<0,delayed previously,1<=X<4,48,M,1323,free,2,<100,0
ACC000000002930,<0,no credits/all paid,4<=X<7,33,M,2361,own,1,<100,0
ACC000000002931,<0,critical/other existing credit,1<=X<4,30,M,1073,own,2,<100,0
ACC000000002932,0<=X<200,existing paid,>=7,21,M,8762,own,1,>=1000,0
ACC000000002933,>=200,critical/other existing credit,<1,24,F,3580,rent,2,100<=X<500,1
ACC000000002934,<0,no credits/all paid,unemployed,32,M,2517,free,1,100<=X<500,0
ACC000000002935,<0,existing paid,4<=X<7,36,F,903,free,1,<100,1
ACC000000002936,<0,critical/other existing credit,<1,43,F,1459,free,2,<100,1
ACC000000002937,0<=X<200,existing paid,>=7,60,M,1838,own,3,500<=X<1000,0
ACC000000002938,<0,existing paid,1<=X<4,37,F,4351,own,1,<100,0
ACC000000002939,<0,existing paid,>=7,19,F,701,own,1,<100,0
ACC000000002940,0<=X<200,existing paid,>=7,45,M,513,own,2,<100,0
ACC000000002941,no checking,delayed previously,>=7,32,M,7338,own,1,<100,0
ACC000000002942,0<=X<200,delayed previously,<1,29,F,8115,own,1,no known savings,1
ACC000000002944,<0,existing paid,1<=X<4,42,M,1826,own,2,no known savings,0
ACC000000002945,no checking,critical/other existing credit,1<=X<4,31,M,1505,own,1,100<=X<500,0
ACC000000002946,0<=X<200,existing paid,>=7,44,M,5731,free,2,no known savings,1
ACC000000002947,<0,existing paid,<1,31,M,1373,own,1,<100,1
ACC000000002948,0<=X<200,critical/other existing credit,unemployed,28,M,6240,own,1,no known savings,1
ACC000000002949,no checking,critical/other existing credit,<1,40,M,3383,free,1,<100,0
ACC000000002950,0<=X<200,existing paid,1<=X<4,19,F,5380,own,2,500<=X<1000,0
ACC000000002951,no checking,existing paid,<1,47,F,1297,rent,1,500<=X<1000,0
ACC000000002952,>=200,delayed previously,<1,22,M,3851,own,1,<100,0
ACC000000002953,0<=X<200,delayed previously,1<=X<4,47,F,1162,free,1,no known savings,1
ACC000000002954,no checking,critical/other existing credit,1<=X<4,29,M,2308,own,2,no known savings,1
ACC000000002955,no checking,existing paid,<1,38,M,950,own,2,no known savings,1
ACC000000002956,0<=X<200,critical/other existing credit,>=7,31,M,7825,free,1,<100,1
ACC000000002957,<0,critical/other existing credit,>=7,63,M,1283,own,1,<100,0
ACC000000002958,no checking,critical/other existing credit,4<=X<7,44,F,2569,own,1,500<=X<1000,0
ACC000000002959,>=200,existing paid,<1,49,M,2872,free,1,no known savings,0
ACC000000002960,no checking,existing paid,4<=X<7,52,F,1567,free,2,no known savings,0
ACC000000002961,0<=X<200,critical/other existing credit,4<=X<7,30,M,3805,own,2,<100,1
ACC000000002962,<0,existing paid,>=7,24,F,2581,own,1,<100,1
ACC000000002963,no checking,existing paid,1<=X<4,28,F,4659,own,1,<100,0
ACC000000002964,no checking,critical/other existing credit,4<=X<7,35,M,2856,rent,1,<100,0
ACC000000002965,0<=X<200,critical/other existing credit,4<=X<7,36,M,1656,own,1,<100,0
ACC000000002966,no checking,existing paid,>=7,35,M,3292,own,2,<100,0
ACC000000002967,no checking,no credits/all paid,1<=X<4,29,M,1792,rent,1,<100,0
ACC000000002968,<0,no credits/all paid,>=7,27,M,1109,rent,2,<100,1
ACC000000002969,<0,delayed previously,1<=X<4,29,M,4352,own,2,<100,1
ACC000000002970,<0,existing paid,4<=X<7,49,F,4510,own,1,no known savings,1
ACC000000002971,no checking,critical/other existing credit,1<=X<4,27,M,760,free,1,<100,0
ACC000000002972,0<=X<200,existing paid,<1,29,F,2572,free,1,100<=X<500,1
ACC000000002973,<0,critical/other existing credit,>=7,31,M,5052,own,1,500<=X<1000,1
ACC000000002974,<0,critical/other existing credit,>=7,49,M,2863,own,1,<100,1
ACC000000002975,>=200,critical/other existing credit,1<=X<4,34,M,6456,free,1,100<=X<500,0
ACC000000002976,0<=X<200,critical/other existing credit,1<=X<4,56,F,1764,free,2,<100,1
ACC000000002977,no checking,delayed previously,>=7,21,F,2451,own,1,no known savings,0
ACC000000002978,0<=X<200,existing paid,4<=X<7,33,M,2017,own,1,<100,1
ACC000000002979,0<=X<200,existing paid,<1,41,F,735,own,1,100<=X<500,0
ACC000000002980,<0,delayed previously,4<=X<7,23,F,2128,own,3,<100,1
ACC000000002981,no checking,no credits/all paid,4<=X<7,40,M,2194,own,1,<100,0
ACC000000002982,no checking,existing paid,<1,22,F,6217,own,2,<100,0
ACC000000002984,no checking,critical/other existing credit,1<=X<4,26,M,1042,own,2,>=1000,0
ACC000000002985,no checking,critical/other existing credit,>=7,68,M,7070,own,1,<100,0
ACC000000002986,0<=X<200,delayed previously,>=7,42,M,2305,free,2,<100,0
ACC000000002987,0<=X<200,existing paid,4<=X<7,29,F,4936,own,1,<100,0
ACC000000002988,no checking,critical/other existing credit,<1,26,M,4952,own,3,100<=X<500,1
ACC000000002989,0<=X<200,no credits/all paid,>=7,67,M,4555,own,2,<100,0
